city,km,mean,median,min,max
Chattanooga,0,3.6,3.0,3.0,5.0
Chattanooga,1,3.57,3.0,3.0,5.0
Chattanooga,2,3.56,3.0,3.0,5.0
Chattanooga,3,4.02,3.5,3.5,5.5
Chattanooga,4,4.48,4.0,4.0,6.0
Chattanooga,5,4.94,4.5,4.5,6.5
Chattanooga,6,5.4,5.0,5.0,7.0
Chattanooga,7,5.8,5.5,5.5,7.5
Chattanooga,8,6.25,6.0,6.0,8.0
Chattanooga,9,6.63,6.5,6.5,8.5
Omaha,0,2.89,2.0,2.0,5.0
Omaha,1,2.86,2.0,2.0,5.0
Omaha,2,2.83,2.0,2.0,5.0
Omaha,3,3.26,2.5,2.5,5.5
Omaha,4,3.73,3.0,3.0,6.0
Omaha,5,4.14,3.5,3.5,6.5
Omaha,6,4.59,4.0,4.0,7.0
Omaha,7,4.97,4.5,4.5,7.5
Omaha,8,5.36,5.0,5.0,8.0
Omaha,9,5.71,5.5,5.5,8.5
