PLANT_NAME,MATERIAL_NAME,YEAR_MONTH,STOCK_MT,STOCK_SELL_VALUE,INBOUND_MT,OUTBOUND_MT,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,NET_CHANGE_MT,CALCULATED_INVENTORY_MT,DATE
CHINA-WAREHOUSE,MAT-0001,2023-12,1927.525,23188131.0,0.0,0.0,P-002,3,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0001,2024-01,2225.625,26774271.0,1708.5,1409.81,P-002,3,298.69000000000005,298.69000000000005,2024-01-01
CHINA-WAREHOUSE,MAT-0001,2024-02,1843.725,22180012.0,0.0,381.87,P-002,3,-381.87,-83.17999999999995,2024-02-01
CHINA-WAREHOUSE,MAT-0001,2024-03,1393.3000000000002,16761400.0,739.5,679.79,P-002,3,59.710000000000036,-23.469999999999914,2024-03-01
CHINA-WAREHOUSE,MAT-0001,2024-04,1328.5,15981857.0,255.0,834.1,P-002,3,-579.1,-602.5699999999999,2024-04-01
CHINA-WAREHOUSE,MAT-0001,2024-05,1812.525,21804677.0,1351.5,612.23,P-002,3,739.27,136.70000000000005,2024-05-01
CHINA-WAREHOUSE,MAT-0001,2024-06,1396.35,16798091.0,0.0,672.57,P-002,3,-672.57,-535.87,2024-06-01
CHINA-WAREHOUSE,MAT-0001,2024-07,1775.4,21358063.0,1402.5,785.73,P-002,3,616.77,80.89999999999998,2024-07-01
CHINA-WAREHOUSE,MAT-0001,2024-08,1888.575,22719558.0,765.0,633.35,P-002,3,131.64999999999998,212.54999999999995,2024-08-01
CHINA-WAREHOUSE,MAT-0001,2024-09,1675.275,20153558.0,255.0,723.14,P-002,3,-468.14,-255.59000000000003,2024-09-01
CHINA-WAREHOUSE,MAT-0001,2024-10,1238.75,14902162.0,102.0,538.5,P-002,3,-436.5,-692.09,2024-10-01
CHINA-WAREHOUSE,MAT-0001,2024-11,520.325,6259510.0,1402.5,845.95,P-002,3,556.55,-135.54000000000008,2024-11-01
CHINA-WAREHOUSE,MAT-0001,2024-12,1091.45,13130144.0,0.0,703.39,P-002,3,-703.39,-838.9300000000001,2024-12-01
CHINA-WAREHOUSE,MAT-0002,2023-12,1.175,8918.0,0.0,0.0,P-001,8,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0002,2024-01,1.175,0.0,0.0,0.0,P-001,8,0.0,0.0,2024-01-01
CHINA-WAREHOUSE,MAT-0002,2024-02,1.175,8918.0,0.0,0.0,P-001,8,0.0,0.0,2024-02-01
CHINA-WAREHOUSE,MAT-0002,2024-03,1.175,8918.0,297.0,0.0,P-001,8,297.0,297.0,2024-03-01
CHINA-WAREHOUSE,MAT-0002,2024-04,149.675,1136034.0,123.75,0.0,P-001,8,123.75,420.75,2024-04-01
CHINA-WAREHOUSE,MAT-0002,2024-05,421.9,3202223.0,0.0,0.0,P-001,8,0.0,420.75,2024-05-01
CHINA-WAREHOUSE,MAT-0002,2024-06,421.9,3202223.0,0.0,0.0,P-001,8,0.0,420.75,2024-06-01
CHINA-WAREHOUSE,MAT-0002,2024-07,410.9,3118733.0,0.0,11.0,P-001,8,-11.0,409.75,2024-07-01
CHINA-WAREHOUSE,MAT-0002,2024-08,381.9,2898624.0,0.0,29.009999999999998,P-001,8,-29.009999999999998,380.74,2024-08-01
CHINA-WAREHOUSE,MAT-0002,2024-09,10.65,80834.0,0.0,371.25,P-001,8,-371.25,9.490000000000009,2024-09-01
CHINA-WAREHOUSE,MAT-0002,2024-10,7.875,59772.0,0.0,2.79,P-001,8,-2.79,6.700000000000009,2024-10-01
CHINA-WAREHOUSE,MAT-0002,2024-11,7.875,59772.0,0.0,0.0,P-001,8,0.0,6.700000000000009,2024-11-01
CHINA-WAREHOUSE,MAT-0002,2024-12,4.325,32827.0,0.0,3.55,P-001,8,-3.55,3.1500000000000092,2024-12-01
CHINA-WAREHOUSE,MAT-0003,2023-12,112.53999999999999,104662.0,0.0,0.0,P-004,2,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0003,2024-01,112.53999999999999,0.0,0.0,0.0,P-004,2,0.0,0.0,2024-01-01
CHINA-WAREHOUSE,MAT-0003,2024-02,112.53999999999999,0.0,0.0,0.0,P-004,2,0.0,0.0,2024-02-01
CHINA-WAREHOUSE,MAT-0003,2024-03,112.53999999999999,104662.0,0.0,0.0,P-004,2,0.0,0.0,2024-03-01
CHINA-WAREHOUSE,MAT-0003,2024-04,39.168,36426.0,0.0,73.37,P-004,2,-73.37,-73.37,2024-04-01
